Tweet,Sentiment
b' RT @tleehumphrey: I got an email from the Gov of Cda saying we know you just returned &amp; IF you were randomly selected for a PCR test you mu\',1
"b' RT @emkay_boo: Who wants to imagine c!Bad finding out that c!Quackity, someone he wants to reconnect with and trusts, was the one who was t\'",1
"b""you know when you need to cry so bad it's making your throat burn. yep. /neg super neg""",0
b' WHAT THE HELL /neg https://t.co/gudsa7AASR',0
"b""I just weighed myself and I'm 60kg... WHAT ??!?!? /neg""",0
b' @RubyFarrow1 Brady /neg',0
b' I want I have words with however thought that circle theorem should exist and that they should teach it to 14 - 15 year olds /neg',0
"b' RT @AltVioarry: /dsmp rp /c!sam neg  ""Wardern\'s Will Breaker"" + that silence during c!Sapnap\'s visit even before the torture  +  ""He wouldn\'",0
b' RT @vioarry: //c!sam neg  I gonna shake c!Sam. Wtf did you do to my boy that make him shut up even before the torture session  Wtf is that\',0
"b' @skroogle Ohh I re-read what I said, I meant for the people tagging neg they might be close with someone who has to\ https://t.co/C0xcCI0WIs'",1
"b' @BrookeKeeton5 @B52Malmet Same here.  I went to see a live performance of The Nutcracker last week.  ID, proof of v\ https://t.co/SZfhiwWG2F'",1
"b' RT @llitchilitchi: // tw violence , blood , torture , c!quackity and c!Sam neg  (1/3)  It shall repeat deep in the darkness... https://t.co\'",0
b' i am gonna make ctommy wiggle himself into cctommy main brain and make him see how horrible cphil is / dsmp  / rp  / neg ?',0
b' college /neg',0
"b' RT @httpsabby_: // tommy crit / neg ??? - - - honestly i think this is more of a cycle than a mistake. it goes tommy making a ""joke"", then\'",0
b' What the fuck is wrong with all these dsmp artists the horror was ok but fucking drawing them as that super gorey a\ https://t.co/cmXbLqVQTG',0
b' Attended a large event that reqd. a vax card or a neg. test. I feel guilty about going b/c I do not support vax dis\ https://t.co/qkqtNGl6T0',0
b' @thenuratiqa thx u but as of now my results r neg so hopefully it remains tht way :(&lt;3',1
b' PLUS THIS PLACE IS FULL OF KIDS THAT WONT STOP SCREAMING WHY DID MY PARENTS TOOK ME HERE WHE THEY KNOW I CANT TAKE\ https://t.co/HtBDYp02to',0
"b' RT @ESHCare: BEGINNING MONDAY, new enhanced visitor screening will come into effect requiring all visitors to test negative on a Rapid Anti\'",0
"b' BEGINNING MONDAY, new enhanced visitor screening will come into effect requiring all visitors to test negative on a\ https://t.co/9dtNrZeg0e'",0
"b""@baaltits Yeah that's fair, maybe if they're close with someone who has told them to tag neg then they'll think abo\ https://t.co/pY7ssFfOoL""",0
b' @chitcharotchit Oh /neg Wtf-',0
b' RT @crimehugz: // c!phil neg  c!phil is so annoying YES  https://t.co/4FypS9DsQA',0
b' @Angry_Staffer Well tht ol boy aint got no sense. Talk about a double Neg',0
"b' @tattiitwt Its just,, its not that hard to tag anything related to Phil neg or hurt etc. People just dont give a\ https://t.co/SESQrtqg5T'",0
"b""@pbhoy @Kildareman2 @pintaview @FionaSDaly The only way you know it's 'just a cold' is with a neg PCR test.""",1
"b' @Malkhattab @MS_Neg FBA is a grifted term created by a wave rider. Ive seen that man hop on, monetize, and cheapen\ https://t.co/O2dJk5W3ff'",1
"b""@HKBelvedere @MascMillennial I just got what presumably is the flu; neg covid test. I'm finally starting to improve\ https://t.co/sHte9vntBb""",1
b' RT @michaelmina_lab: Why we need to have *test-to-stay* programs for school.  Your child MIGHT have been exposed? Keep at home straight for\',1
b' @cha_neg @DThaumavore I have my comfort zone. You have your comfort zone. What makes you and I different from the 1\ https://t.co/KzdJDcDHSc',1
b' RT @dirtycrimegirI: / c!phil neg  c!phil is the type of guy to tell you you have depression from using your phone too much',0
b' RT @survivalinfits: @DFisman @CPHO_Canada @EdTubb Omicron super-spreader - 120 people fully-vaxxed with neg test. Recent report of 50 confi\',1
b' c!emralddup neg   i want c!emeraldduo GONE tbh like \ YES AGREED THEYRE SO ANNOYING THEYRE AWFUL AND THE SUPERIOR\ https://t.co/IhClpDw19f',0
b' RT @prof_freedom: Stockholm Nightlife July 2021 - Still No lockdown No masks No business closures No school closures below grade 9 No\',0
b' c!techno neg   c!techno is so boring and annoying youre so correct anon this is a banger take i could write so ma\ https://t.co/od7amQPkYk',0
"b' RT @assbutflat: Another day, another c!discduo fanart that was inspired by animation with implied cannibalism where one character tear out\'",0
b' // c!phil neg  c!phil is so annoying YES  https://t.co/4FypS9DsQA',0
b' RT @berrystalliance: @galeabrewer @FrankBodega @AliBaumanTV virtue signaling immigrant owned stores - news flash immigrants own &amp; operate\',1
b' @ALfromBoston617 Why are you concern about the neg Beta?',1
b' never thought id see the day where tadca fanartists make implied cannibalism artworks but yall never faily to surprise me /neg',0
b' I can put my hair in a ponytail /neg https://t.co/V3uYWTJNli',1
b' // cphil neg ( kind of i guess idk ? )  c!phil shares the same vibes of when u tell ur parents ur depressed and not\ https://t.co/i8cN6IfV15',0
b' @amour_cece_ Youre welcome baz',1
b' WHY IS MY TIMELINE ALL C!PHIL NEG????',1
b' RT @amour_cece_: @Neg_Lagonav Thank you! ',1
"b' Yes Kak, for sure haters gonna hate https://t.co/NWchknKfUA'",1
b' RT @drdenwalker: Reports suggest that taking vit D3 at night can neg influence sleep quality by interfering w/melatonin production.  Vit D3\',1
b' @truesally_ Pinterest /neg',0
"b""We're hiring! Read about our latest job opening here: Class A - Regional Truck Driver - Home Weekly/Bi-Weekly -\ https://t.co/n5SULFsvcI""",1
b' danganronpa? banana fish? attack on titan? peaky blinders? bojack horseman? american horror story? BLACK MIRROR?? t\ https://t.co/pQGu7wBI8g',1
b' @bunfloras my life became so much easier when i muted c!phil neg from both twitter and tumblr',1
b' psat scores for my school come in today :D /neg !!',1
b' glados/neg  wheatleys better https://t.co/JaVu8y5rrV',1
b' @realLizUSA Maybe someone should proof read any post from Trump........Mr. Double neg.',1
"b' RT @masonjaruu: Hi !! I just wanna say this becouse its getting very annoying for me, but can you at least put /fake or any implication in\'",0
b' @Flanktiste This is why you went neg on dps in middle east',1
b' RT @ESPNFC: Leo Messi is humble  https://t.co/cblv6PAAMz',1
b' @CutestMaya is that /neg ?',1
b' / neg  feel like fwens dun like m nymore T__T',0
b' RT @baaltits: (ableds rt)  so mcyt fans decided to tag this as tommy neg...  just shows they care more about their own groups that cry if t\',1
b' @EAartxd i hope the pqrt is neg about you',0
"b""@aimseyz you're in 6 subtwts, excluding mcyttwt, ur first two likes are squishmallows and dogs, you have tag cc neg\ https://t.co/Y1snhKWNIN""",1
"b' @ranaltboo @Ranboosaysstuff Hi LIVE, Im neg'",1
b' RT @GeorgeGammon: Several people at 1 event contract Omicron. All who attended = vaxed &amp; had just tested neg for Covid  When will central p\',0
"b""@thatsarahbih @JustAMomNamedMP MP said it best and so agree. Mine are 24 and 20 now and they're way more respectful\ https://t.co/iFiX3HnLSf""",1
b' Wow. Double Neg FTW! https://t.co/z93QPuBvwL',1
b' /neg of course',1
"b""@Gusti_Neg Excellent game for Fred, let's see in the coming weeks, semoga konsisten""",1
"b' Yo pls tag c!phil neg &gt;:// it pisses me off seeing it untagged on my tl, also kinda just,, its a neg trigger for some '",1
b' @Shamita__stan @ShamitaShetty hard 2 see her being falsely portrayed in a neg light #ShamitaForTheWin\ https://t.co/U38ONrtxlY',1
b' @RocksDSosa What Base Kaido neg diff Luffy. Who has way higher Endurance than Kat. Than he 2 shotted him on the roo\ https://t.co/C5nx8es0hU',1
b' Literally Ive had them since I was like 4 but they still bother tf outta me /neg',0
b' now what is going on with my hair  /neg https://t.co/r1Ik2VsmMw',0
b' @ZOROxChopper Neg diff is ridiculous but yea I agree that Kaido would beat him obviously. He contradicted Luffys F\ https://t.co/Z9Caga3eUY',1
"b""/ c!phil neg , dsmp rp  gonNa watch Tommy's lore stream when I get home from the mall but all the tweets are tellin\ https://t.co/nVQuBWkOqO""",1
"b""People won't fucking tag c!Phil neg, i'm sick and tired of seeing all this shit on my tl""",0
b' ...mental illness /neg https://t.co/S2D9RT91gX',0
b' RT @enterther4ven: yknow i just realized something lmao its tag character neg until its emerald duo',1
b' @ToneVays we all knew that they will get rid of this old moppet to put in power the other Neg.. in power at some po\ https://t.co/MjrxAfhGbk',0
b' RT @lovdrm: dream neg in clip  - xqc defended dream and its nice seeing someone not just shitting on dream and assuming the worst of him  h\',1
b' RT @cupTWOst: crumb chat /neg',0
b' oh my god can ppl pls start tagging their posts with /c!phil neg?????????? im so tired i start to read a tweet AND\ https://t.co/5ShAi9Nx98',1
b' RT @Lemon_emonn: @pileofrats_ people that dont follow them /neg',0
"b""@thelorebitch I hate how Phil treats Ranboo more like his child than Tommy (this Is c!Phil neg) and it's not like h\ https://t.co/JKQhNwv7dn""",0
"b' No escape. For anything at all that is categorically identified to fall inside Islamic definition of innovation,\ https://t.co/1cS4EIc3t0'",0
b' @otterymed how do you relate F. Neg rate with vaccination status. ?',1
b' @pileofrats_ people that dont follow them /neg',0
b' RT @SapnapLIVE: // tommy neg  one shaky breath from tommy and im going back to foolish i cant deal with that today',0
b' @hammerotass @Jackyannep @imaanjoshi I would like to believe its fake but\My bestie who is married had a mutual te\ https://t.co/qRbAhN2RBl',0
b' my friend is having more fun with the girl who bullied me than with me her actually best friend.  /neg',0
b' //dream neg in op  IM SORRY WHAT???? https://t.co/afRrC1LP7k',1
b' FULLY VACCINATED US students studying abroad (UK) are now required to have a neg Covid test within 24 hours to fly\ https://t.co/619VdOFSfz',1
b' worst idea someone has ever had /neg https://t.co/4DoM7XPKXP',0
"b' RT @gemsbo: Thats one in his bedroom for 10 days, Poor poorly boy. I have to say I am angry at the government how can they let a school cl\'",0
"b' RT @FHouseIfS: @JazzerStix @BylineTimes @WritesBright I wonder if those were the ones recently showing false positives in our area, debunke\'",0
b' Boundaries!: -NSFW/18+ accs DNI (I am a minor) -pqrts are ok! please just say if its /pos or /neg -cosplays/fanart/\ https://t.co/9PbHfSfWp4',1
b' Society /neg',0
b' I feel so bad rn like my body is actually shutting down /neg',0
b' So I can to Urgent care bc Ive had a cough for 3 week and last time I went my covid test was neg. I had asked for\ https://t.co/w889mo4AEV',0
b' oh god the qrts on the op post. in usd my total expenses are 16 dollars while these people spend a whole ass 1k usd  not /neg!',1
b' the fact i made so many fucking mistakes and then my mother is heard sighing and whispering abt it to my father mak\ https://t.co/gjYFVDLJZz',0
b' Cool so i missed zeph and not warriors /neg',0
b' @RocksDSosa Kat would get neg diff by hybrid Kaido',1
b' i pqrted its neg sorry dream is the ginger cat https://t.co/K0hIqssnoH',0
b' RT @beesmygod_: i saw a post on my dash that reminded me: someone tried to neg me at a convention by picking up something i made and going\',1
b' // c! phil neg  FUCKER MADE TOMMY BURN THE GAPPLE GHOSTBOO GAVE HIM CANT HAVE SHIT',0
"b""@Needy_cub Being in domspace for me is just generally a /neg experience so I don't do it. So I'm technically a swit\ https://t.co/7g6ndy28tE""",0
b' RT @benchtwtcomfort: // c!sam neg  FUCK C!SAM. RT IF AGREE.',0
"b""What a good day to be a user of twitter dot com i love seeing mfs say that people like me shouldn't exist !/s /huge neg""",0
"b' Another day, another c!discduo fanart that was inspired by animation with implied cannibalism where one character t\ https://t.co/j2LhQDOJFU'",0
b' @Lemon_emonn karl slash neg',0
b' @JazzerStix @BylineTimes @WritesBright I wonder if those were the ones recently showing false positives in our area\ https://t.co/PKt3LNOzuL',1
"b' RT @STEV0SAURUS: jwcc S4 spoilers , jwcc neg   Ben and Kenji nonironically have more chemistry than the canon ship and are even age appropr\'",1
"b' @CNN @gtconway3d For  context, Italy is a highly vaxxed country, with masks and immunity status controls for partic\ https://t.co/9ZQEJhHFId'",1
b' what the hell /neg https://t.co/gMGMSfUNl1',0
b' @Kk_systemTweet My skrunkly /neg ',0
b' ads /neg',0
b' @WileyWilly2 @ChalianDaniel @TheJohnBream You correct. My teens had it for 7 days. Really bad cold like symptoms. I\ https://t.co/7Y66tIQxs9',0
b' Tw// mention of train . . . . . Trains with 10 minutes delay/neg',0
b' ugh /neg ',0
b' RT @sohrakks: @cprimeboysluv literally everytime i see csam neg im just like LISTEN YOU HAVE A POINT BUT and theres nothing else after the\',0
b' @sapnvpsluvbot @PANDASLUVSY0U @dwtsboo astrid i might go neg /j',0
b' @galeabrewer @FrankBodega @AliBaumanTV virtue signaling immigrant owned stores - news flash immigrants own &amp; oper\ https://t.co/KHcrXIxiQY',1
b' RT @kk_obsessed: That potik always try to make karan look neg. But bro he already made a impression of being the most positive guy over the\',1
b' i wonder if the reason that techno neg will always come up if you search techno is because of me https://t.co/FEuUKRwzx2',1
b' GEORGE IS FRUITY /NEG https://t.co/Vq61ymtPtK',1
"b' *blinks* she lied to him ab having pos covid tests, shes actually covid neg and a comedy genious https://t.co/eioIU7aqdH'",1
"b' Tagging people as /neg, especially children, is gross and not beneficial or valid for criticism /srs'",0
b' sploosh o matic users /neg',0
"b' If youre gonna tell me to come earlier than my assigned shift and then decide to be late, dont ask me to come in early. /neg'",0
"b""RT @its_AnnuCha: Not few ppl representing the whole fandom ....it's us who highlighted only negative things n tag the whole fandom with dif\""",1
"b""// c!ranboo death , c!sam neg  ' csam is lashing out at people bc of pressure  '  .... HE  KILLED  SOMEONE .  HE\ https://t.co/OY1jlvO3E8""",0
b' I cant keep my mouth shut on this acc /neg',0
"b' @_cooperray_ @LeBackpacker @punk6529 It makes more sense than offering a print for sure, it is definitively the ori\ https://t.co/nWBG4rg0IJ'",1
"b' How can one person consume so much beverages in one day , one minute Siphuza e wine, jiki Jiki its tea followed b\ https://t.co/dnuB43ENrL'",0
b' Guess who has to get tested for covid today  /neg',0
b' RT @kgcarney: Are colds just epically worse this year? Ive had a cough for over two weeks now. No other ailments. Massive coughing fits an\',0
b' @cupTWOst me when crumb chat /neg https://t.co/sHac8iLbGR',0
b' @slaybahiyyih just cause u tested neg means u can go out and do anything u quarantine then retest at the end',1
b' they make me wanna scream /neg',0
"b""// abuse , cphil neg It's actually important to have materials to be able to provide for yourself in abusive situat\ https://t.co/5orTDYsLt8""",0
"b' @LaurieT2021 @ravencallin @vicky_dollysmom Neg.Gains:getting covid possibly long haulers,or dying Neg.Gains:contrac\ https://t.co/l7gPROtnZb' ",0
b' Every traveler must do a COVID test in Ghana at the airport. Whether you came with a +ve or -neg test results from where youre coming from',1
b' // c!phil neg I will **** ******* *** ***** mf https://t.co/ZGLnKJilJa',0
b' inniters /neg https://t.co/X3bcgUNia7',0
"b' @freavps i hate you so much/neg/srs  ""Liar"", ""It\'s okay, Dream, It\'s okay"", ""George never woke up"", ""Tap Tap Tap""\ https://t.co/G0L3mCUH1n'",0
b' @CupofKindnesss You cant please everyone! My first neg was hilarious. Customer bought fingerless gloves and then c\ https://t.co/0l0Z0ZetIm',1
b' RT @benchtvio: inniters /neg ',0
b' @langalovr me growling at u /neg',0
b' inniters /neg ',0
b' RT @alliumender: people getting mad at c!Tommy being attached to lmanburg /neg',0
b' going to take a COVID test and if its neg? ikea',1
"b""@Sicarious_ @FTX_Official If neg balance you'll be taking donations""",1
b' august 2021 stop haunting me /neg',0
b' @dcrawford1934 I feel a little better today than yesterday.Yesterday was pretty rough.I went &amp; got tested again yes\ https://t.co/Ssj8ryJxqo',1
b' We have 278 jobs open today in #GrandIslandNE. Check them out via the link in our bio.',1
b' i saw a post on my dash that reminded me: someone tried to neg me at a convention by picking up something i made an\ https://t.co/d6pbDHXYZJ',0
"b' RT @satvrnnrings: jwcc spoilers , brookenji , jwcc neg //  i think the thing that bothers me the most about brooklynn and kenji going canon\'",0
b' @benchtvio YAS AND IN A SLASH NEG WAY TOO their not funny',0
b' @fandomsupporte1 @_ThatOneSystem_ @SapnapLIVE His age comes into play because hes a child having a tone tag attach\ https://t.co/w3rtDVLByD',0
b' @YahooNews This is all they got out of this number what ages and where did they come from and is this tested more t\ https://t.co/fp2xiMfnfd',0
b' RT @KevyD_: The African-American urge to say Im ready when you are when youre ready to go.',1
b' RT @ThomasMichals17: NOT AFFECT NEG IN EVERY AND ALL WAYS WHICH IS WHY DO TO CONTROLL OF HOW IT IS USED WHICH IS ALSO THE REASON IM TWEETIN\',0
b' NOT AFFECT NEG IN EVERY AND ALL WAYS WHICH IS WHY DO TO CONTROLL OF HOW IT IS USED WHICH IS ALSO THE REASON IM TWEE\ https://t.co/YU7cympJZJ',0
b' ive seen too much tommy neg  bye twitter see you tmr',0
b' RT @DAnteFourPrez: @ThegirlMooT I do believe the only reason dudes get together and RECORD themselves singing this now is because social me\',1
b' RT @ZoePremee: @TrillyTrills @ThegirlMooT Real niggas know that our mommas played it everywhere after some beef wit our pops',1
b' @SapnapLIVE PSA: Stop. Tagging. /Neg. On. A. Child (Children).   Its literally so simple: if you dont like him or\ https://t.co/3djaiPasgj',1
b' This is how programmed some folks are: at a COVID free concert proof by neg test; A couple two rows below me were o\ https://t.co/6MefVLvqCm',0
b' Best sets from Triple B Weekend:  Restraining Order POI MAD The Fight Wild Side DOM NEG',0
"b""@LPiearcey My advice is LFT aren't accurate. So you did right thing booking pcr. Hopefully neg and you both feel well soon. """,1
b' i stg if i cant lose 8lbs by my appointment on the 18th im gonna cry /neg',0
b' NOOO I GET THE REFERENCE /NEG https://t.co/rFVKjDC8hx',0
"b' @MerylSwanLake @michaelmina_lab But as a point test, the increase the risk of being tested neg while infected. If t\ https://t.co/u8Zn6xJmFu'",0
b' watercolour /neg',0
b' geography essays /neg',0
b' @jamft @Bret_Sears Neg power',0
b' RT @aimseyz: c!sam neg  nobody understands   DO YOU THINK I CARE C!SAM',0
b' RT @_BangFu: Dear @Cristiano please let @B_Fernandes8 take the free kick. You can take the penalty. Please ',1
b' @ViApologist i promise u i was just correcting people from lore mistakes that they thought happened but actually di\ https://t.co/yM7DVkqwPT',1
b' RT @bIackwashing: Its pretty disgusting how mcyt fans care more about [shitty content creator] neg than the people that were affected by\',0
"b' Your precious natives enslaved my ancestors as well, coward. https://t.co/L2rcSYCirO'",0
b' Another family here been since 2nd. Got their neg on the 3rd. 2 kids that also not catered to. Theyve been trying\ https://t.co/QULjLu7n8U',1
"b' why is there a ""tommy neg"" tweet on my recommended '",1
b' Coloring clothes /neg https://t.co/tae4WDpq73',0
b' Prayin that my PCR comes in a) neg &amp; b) before the reading starts !!! See u there if god wills it https://t.co/Ng17wEOhbF',1
"b""/neg . . . . . . i can't tell if i'm just exhausted physically or emotionally too :')""",0
"b""RT @DiazAndytwelve1: @HMAesq ADOS is a specific lineage that deserves our judicial repair. We aren't pitted against anyone - as a matter of\""",1
b' RT @DebDirtylooks: @Me86793059 @HMAesq South Asian bigot its beyond a pattern with the model minority brand https://t.co/dvfJHuQt15',1
b' i am so /neg',0
"b' RT @EricLaurie: Maybe just a bit excited, but definitely looks like a 4-2-2-2 in the high-block. Lateral compactness, ball-far player tucki\'",1
b' @sent7i pqrted and its /neg',0
b' RT @IntellectWise: @HMAesq Well we also must understand that we dont intentionally do anything. Anti black racism is practiced where u are\',0
b' Fuck c!Sam bro! He legit heard Dream yell I dont care if he dies and still killed c!ranboo. What was the point i\ https://t.co/TfrR5qGMl2',0
b' RT @BUNNIC4KE: // c!phil neg   the immortal man who has barely lost ANYTHING on the server is telling a mortal teenager to give up the thin\',0
b' i have school tmr/neg',0
"b' RT @KimCommie: Omg\Voxs documentary on the assassination of Fred Hampton, calls the Black Panthers democratic socialists who modeled the\'",0
b' RT @DisguisedRoast: / dream neg in video  Clip! https://t.co/EuXEVDc9K5',0
b' Never make an appointment for a covid test with @Walgreens EVER! they scheduled me for 9:30 am and the VERY bitchy\ https://t.co/9qXhykyipz',0
b' #ADOSAF does the work of advocating principally for American descendants of slavery. We advocate for the whole. We\ https://t.co/zb28LkEC3j',1
"b' / manipulation implied , dream neg in clip   its nice to see a creator finally defending dream when creeps is twis\ https://t.co/9Tw697LUXG'",0
b' @mmpadellan WaPo actually measured this.   Biden gets more neg press than tRump did.',1
b' @faerycals_ @fairycals1 OMG DID U COMMENT NEG THINFS  IM SO SORRY @fairycals1 ',0
b' Some people have a lot of free time in their life /neg',0
b' my pc/neg celestial/pos',1
b' Are colds just epically worse this year? Ive had a cough for over two weeks now. No other ailments. Massive coughi\ https://t.co/xRud4fy1Zu',0
b' / c!phil neg  we can all agree that c!phil having c!tommy put his valuable item on the ground and burning it was ju\ https://t.co/v3A0Rpf2ER',0
b' @muratpak Neg Entropy',0
b' @flowers4tmmy pqrt and its neg',0
b' @flowers4tmmy no im saying that my moots follow u\ /neg very /neg',0
b' @spamlev IS THIS /POS OR /NEG I CANT TELL',1
b' @benchtvio Me too its sucks and i have a biology final Lets trend school /neg',0
b' @GoldSwitzerland Took me awhile to figure this out.  Fed loans at 0% to Primary Dealers &amp; Hedgies.  They buy  TNote\ https://t.co/WynbjrmLXD',1
"b' // josuhan ment , proship  FOUND A COOL ARTIST BUT THEY SHIP JOSUHAN /NEG'",0
b' /neg replies ur all pussies and cowards and ull never find true love in ur life ever good luck not eating vegetable\ https://t.co/Q2VQnvNyQP',0
b' I have too go back school tomorrow /neg',0
b' always feminine /neg',0
b' @kysmoonjo ur a tofu hater? /neg',1
"b""Today's Mood: Looking For SomeOne After Neg November """,1
b' @flowers4tmmy i pqrt and its neg',0
b' @dwtvhs Im always active /neg',1
b' @mare_somnia_yt Its /pos and /neg both ',1
"b""@L0VEADISASTER @shadowofuther well right now it's /pos but.. one day potentially /neg hopefully not though """,0
b' as soon as i began writing again i got hit with a major block. fucking great /neg',0
b' i keep seeing inniters hating c! phil on tl :/ /neg',1
b' @Sinner_Jade at this point EVERYONE has a chat manifestation  /neg',1
"b""/ c!phil neg  his advice is going to get that boy in some dangerous, serious shit.   we're aware that he's trying t\ https://t.co/fYN8LRSz0r""",1
b' That potik always try to make karan look neg. But bro he already made a impression of being the most positive guy o\ https://t.co/AESmxOebqm',1
b' making a carrd /neg',0
b' RT @miIfhao: i feel like ash would read jeonghan enemies to lovers fics /neg',1
b' imma make sure to join the next mbb selca day and post a picture of myself holding my sine neg trophy just like how\ https://t.co/xE4UF3v1ug',1
"b' RT @Treshiq: My mom doing this ..""I shot 7 he shot 11 come on baby let\'s go to heaven. "" lol hambone!'",1
b' RT @DebDirtylooks: Hambone where have you been?  been around the world and back again  ',1
"b' @GotPickup @Aussie2171 Thanks, I already unconsciously neg'",1
b' feeling /neg rn idk why',0
b' e daters /neg is the funniest thing i have ever read',1
b' feels like ppl would argue abt uzui again now tht his arc is going to get animated /neg',1
b' RT @Al_B_Done: @MS_Neg They dont have what we have! Black Americans IT factor! https://t.co/YQVwkM93tC',1
b' Gm everyone https://t.co/EWhd64pTR5',1
"b' @Sbartdump Ngl idek how I would pronounce the first part, longish name /neg haha  Lybopgogboopupscriboinkbib' ",1
b' @Womancrushmilie @_PeterHunt According to their own words neg press coverage didnt start until 6 months after marr\ https://t.co/u5Wn5yZqk4',1
"b""RT @cherrysplosion: Fun fact! Steam is actively against NFTs so Poppy's Playtime will be taken down if people report it/neg review enough a\""",1
b' thinking abt yuujis fate /neg',1
"b' @nodramalama6 @Milena52769243 @Tedsmomma Hope he got the names of the ER staff? In any case, he should write an ema\ https://t.co/sJyGaLalWz'",1
"b' @saxious_07 @cha_neg It can, it is also a great way to take the death of a character PC or NPC if you made Forah su\ https://t.co/s0w7VbKr8j'",1
"b' lemme tell you, this was a week /neg ive ever had'",1
b' @neg_dave Ill take a lame win against a quality team.',1
"b' Interested in a job in #Hastings, NE? This could be a great fit. Click the link in our bio to apply: Warehouse Work\ https://t.co/3JvOsziVab' ",1
b' / c!phil neg  c!phil is the type of guy to tell you you have depression from using your phone too much',0
"b""O'Reilly Automotive is hiring in #Kearney, NE! Read about our latest #Sales job opening via the link in our bio: Bi\ https://t.co/Ym1YKOBKwp""",1
b' @BrookeTyers id die on the spot in a /neg way \ i find it hard enough with a duo m&amp;g honestly but 9? gulp',0
